Name,X062918.Healthy.ppLN.cDC1,X062918.PanIN.ppLN.cDC1,X062918.Tumor.ppLN.cDC1,X070618.Tumor.ppLN.cDC1,X071618.Tumor.ppLN.cDC1,X071718.PanIN.ppLN.cDC1,X072618.PanIN.ppLN.cDC1,X073018.Healthy.ppLN.cDC1,X080618.Healthy.ppLN.cDC1
ENSMUST00000021816,4.728046,3.368855,2.204547,8.035773,6.234934,5.592824,0,6.272788,0
ENSMUST00000135784,0,0,0,0,0,0,0,0,0
ENSMUST00000141408,0.671354,0,0.705678,0,0.098997,0,0.440889,0,0
ENSMUST00000119721,0.551037,0.489474,0.997731,0.806567,0.441595,0.553008,0.688599,0.231894,0.078215
ENSMUST00000131880,2.885402,1.763937,1.349836,4.926344,1.693322,6.09592,16.156624,15.304771,11.181723
ENSMUST00000110087,4.53155,4.59942,3.468311,4.661112,5.099951,9.671944,10.460773,8.989091,2.544478
ENSMUST00000048716,0.017642,0.043071,0.006312,0,0,0.103658,0,0,0.569077
ENSMUST00000110086,0.132102,0.188031,0.048953,0.074411,0.144633,0.452564,0.389178,0.077302,0.208184
ENSMUST00000048544,1.35621,1.649786,0.529537,0.461749,1.318054,2.312543,2.396413,0.842788,0.942814
ENSMUST00000110084,1.921902,3.182731,2.783866,3.971137,2.690088,2.151561,5.330162,5.161991,2.283917
ENSMUST00000110085,1.559859,0.792513,0,0.320029,1.355817,3.143361,4.86323,0.774343,0.413071
ENSMUST00000220723,0,0,0,0,0,0,0,0,0
ENSMUST00000220447,0.243487,0.342417,0.294862,0.162301,0.406342,0.203801,0.436715,0.259765,0.2294
ENSMUST00000220856,1.706183,1.452824,0,1.202142,1.195856,1.951904,1.480085,0.838573,1.624644
ENSMUST00000021817,0,0,0.497163,0,0,0,0.097959,0.192751,0
ENSMUST00000021818,2.020155,1.387395,1.209789,2.138307,1.836735,1.392304,1.835539,2.107822,0.990625
ENSMUST00000222404,0.23633,0.034302,0.095583,0.050092,0.0107,0.2084,0,0.106566,0.063906
ENSMUST00000051504,0.032276,0,0.150223,0.009535,0.047722,0.082267,0,0,0
ENSMUST00000222592,0.031538,0.09664,0.013282,0.073818,0,0,0.141305,0.058253,0.31084
